reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId
a10547a5-854f-4288-95ba-2827ad65ed65,Ulul Fatwa Zaharoh,https://play-lh.googleusercontent.com/a-/ALV-UjUeFj-Bo6utmJQIyjxi2fDah7GcG0paDKunC21sGD8gGT8FAlyC,"Suka tokopedia karena banyak promonya. Tapi kurang suka sama fitur kurir rekomendasi, kemarin 19 hari sendiri paketan saya tidak di pick up dan batal otomatis pesanan dua kali, itu pun udah komplain ke Tokopedia Care. Padahal kan kita secepatnya butuh barang tersebut.",4,167,3.260.2,2024-04-25 12:05:29,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-25 12:20:06,3.260.2,most_relevant,com.tokopedia.tkpd
4eef2c37-78d0-4844-bb70-6c1730d99465,Fauzi Bertrand,https://play-lh.googleusercontent.com/a-/ALV-UjXk7Qqo2kgeQ5mxU0ViNmMclIeQmftH8rViFEkj6H4302tFWfMu,Sebenarnya seneng gw belanja di TokPed Tp Ekspedisi Rekomendasi Kurang baik. ada masalah dengan sama sebelumnya tapi saya selesaikan sendiri datang langsung ke Pihak Ekspedisinya. Kalau bisa di tambah Ekspedisi lain untuk Rekomendasi Pihak TokoPedia,3,10,3.261,2024-04-30 06:42:54,"Terima kasih atas rating yang kamu berikan, Toppers. Besar harapan kami, kamu bisa memberikan rating yang lebih baik lagi.Oleh karena itu, jika kamu memiliki kritik/saran atau kendala transaksi, silakan hubungi Tokopedia Care di Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care ya.",2024-04-30 07:00:05,3.261,most_relevant,com.tokopedia.tkpd
b134c205-4567-46fd-9406-c6f0a1d8f077,Eko Pramunanto,https://play-lh.googleusercontent.com/a-/ALV-UjU6vJELh9YaLDyq0hy3g5VHU3K0i4G7a19NsTfkLMgaIoY5-EEu,Cukup nyaman digunakan. Tetapi beberapa perbaikan terakhir ini jadi sangat parah memboroskan baterai. Harus segera dibersihkan dari memori jika tidak sedang difokuskan menggunakannya (background running).,3,8,3.261,2024-05-04 06:07:40,"Makasih ratingnya, Toppers. Ke depannya kami akan meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi yang lebih baik lagi untuk semua pengguna.",2024-05-04 06:20:03,3.261,most_relevant,com.tokopedia.tkpd
11dd4e76-804e-483e-a0f0-3c578db5024f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Update terbaru sorting barang harga terendah/tertinggi error terus, barang tidak urut, setelah lihat barang urutan harga berubah lagi. Di keranjang kalau bisa seperti dulu, ada berat barang sehingga pembeli tau mana barang yg berat, semoga cepat diperbaiki. Saya turunkan jadi bintang 3, kalau sudah perbaikan saya ulas kembali. Terimakasih.",3,30,3.261,2024-05-06 03:49:43,"Terima kasih atas rating yang kamu berikan, Toppers. Besar harapan kami, kamu bisa memberikan rating yang lebih baik lagi.Oleh karena itu, jika kamu memiliki kritik/saran atau kendala transaksi, silakan hubungi Tokopedia Care di Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care ya.",2024-05-06 04:00:08,3.261,most_relevant,com.tokopedia.tkpd
b647804d-0a56-47b4-a1e2-26531c2b1d45,Alfin Pratama,https://play-lh.googleusercontent.com/a-/ALV-UjWR0ycx3gj46oDr8GuHvjs2AdQ18rEVDP4LHp0Ks0OGeBAb0syb,"Tokopedia untuk kecepatan pengirimannya tolong diperhatikan, lebih baik buat ekspedisi dari tokopedia untuk kurir rekomendasi, jangan pakai ekspedisi yang lemot untuk kurir rekomendasi seperti JNE itu. Kalau bisa pakai yang cepet"" aja seperti J&T. Semoga diperbaiki",4,4,3.260.2,2024-05-09 10:05:49,"Hi Toppers, terima kasih untuk rating dan ulasan baiknya, ya! Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi terbaik bagi semua pengguna. Yuk tingkatkan terus transaksi kamu!",2024-05-09 10:20:05,3.260.2,most_relevant,com.tokopedia.tkpd
8c66e1f5-9a7d-4af7-ada1-e29ca74c5fc2,SndAbdi,https://play-lh.googleusercontent.com/a-/ALV-UjX8MCiNq-v-O2_FemIVlSJCMIR1qEXVI9NYNw0-l9UsNuUjMLo,"Aplikasi aman, nikmat, terpercaya. Saya harapkan ada peningkatan promo dan diskon pada item yang sering saya cari, karena harga yang saya cari tidak masuk akal. Terkadang proses dan barang yang sampai tidak sesuai.",4,1,3.263,2024-05-17 02:46:56,"Terima kasih sudah mempercayakan Tokopedia sebagai tempat bertransaksi online pilihan Toppers. Jika ada kritik/saran, atau kendala pada aplikasi Tokopedia, silakan hubungi Tokopedia Care melalui Tokopedia Care ya. Yuk transaksi lagi karena semua Ada dan Bisa di Tokopedia!",2024-05-17 03:00:02,3.263,most_relevant,com.tokopedia.tkpd
5c7db638-736f-4504-80ae-ec2d5c2e9ec5,Aini Haddad,https://play-lh.googleusercontent.com/a/ACg8ocJgev2j91fYvzYQVs8k5OcQkCmsxNgxGE_tzsJKKn_SfayYtw=mo,"Saya suka belanja di Tokopedia karena banyak bagi2 voucher diskon. CUMA yang gak saya sukai jasa ekspedisinya kok lambat dan terkesan malas gitu yaa? Gak gercep. Saya juga agak menyayangkan beberapa seller yang lambat mengemas pesanan, bahkan ada yang sampe mau tiba waktu pembatalan otomatis, pesanan baru dikirim. Tolong dibenahi 2 hal ini : ekspedisi dan seller yang kurang gercep. Thanx.",4,53,3.263,2024-05-25 13:36:50,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-05-25 13:40:03,3.263,most_relevant,com.tokopedia.tkpd
20f0b67e-e443-4dfb-80dd-0e39fbbc83ab,Ali Mahmud,https://play-lh.googleusercontent.com/a/ACg8ocJxrYYkNXDw9l6n7J4yNtwFWMozc53Jru7OLSZVSSJjGEt2VA=mo,"Klo bisa jasa pengiriman yang bermasalah gausah digunakan,sapx sudah terkenal tidak kompeten dalam hal melakukan pengiriman barang, sudah berkali kali komplain masalah barang tidak diterima tapi diselesaikan kurir,kenapa pihak Tokopedia tidak dapat berkaca ke e-commerce lainnya,yang berbenah dari seller nakl dan expedisi gaib seperti sapx.mudah2an kedepannya bisa lebih baik.",3,21,3.264,2024-05-28 12:58:02,"Makasih atas ratingnya, Toppers. Jika kamu memiliki kritik/saran atau kendala transaksi, silakan hubungi Tokopedia Care melalui Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care ya. Besar harapan kami, ke depannya Toppers bisa mendapat pengalaman bertransaksi yang lebih baik lagi di Tokopedia.",2024-05-28 13:00:03,3.264,most_relevant,com.tokopedia.tkpd
631a09cc-1f6b-44b8-b7f4-cbf77744878a,Wawan Citra,https://play-lh.googleusercontent.com/a-/ALV-UjWeJUIIrKITMGjBVFIHAVjRLvObTkaMDu_9r6asuk4D1z2fr1tM,"Slide show otomatis saat mengamati detail foto mengganggu krn tidak bisa ditahan utk tidak bergeser ke foto selanjutnya padahal blm selesai mengamati satu foto. Saat memperbesar foto, foto tidak bisa di geser utk mengamati bagian pinggir krn kepotong",3,6,3.265,2024-06-02 16:42:45,"Makasih ratingnya, Toppers. Ke depannya kami akan meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi yang lebih baik lagi untuk semua pengguna.",2024-06-02 17:00:02,3.265,most_relevant,com.tokopedia.tkpd
57e835fc-a5e8-474d-a68d-68903bc2ad51,Ahmad Syahroni,https://play-lh.googleusercontent.com/a-/ALV-UjXhOnEJKkhVLtefb-FpUyt6666Qq7ZrDTtgBmfWt7PghJhG-grfaA,"Belanja di sini banyak yg murah sih, apalagi tersedia kupon bonus, dll jd tambah murah, tp ada ada 1 hal yg sangat tidak layak, yaitu jasa pengiriman menggunakan kurir rekomendasi. Beberapa kali beli menggunakan jasa kirim kurir rekomendasi, dan datangnya paket selalu terlambat, status pengiriman juga lama update nya. 3 hari gk ada update status pengiriman.. Mending hilangin aja itu fitur kurir rekomendasi..",3,258,3.266,2024-06-09 03:13:54,"Makasih ratingnya, Toppers. Ke depannya kami akan meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi yang lebih baik lagi untuk semua pengguna.",2024-06-09 03:20:04,3.266,most_relevant,com.tokopedia.tkpd
